Step,Vehicle_ID,Battery_Level
50,EV_7,54.0
50,EV_8,88.0
50,EV_9,61.0
52,EV_0,32.0
52,EV_1,52.0
52,EV_10,79.0
52,EV_2,65.0
52,EV_3,39.0
52,EV_4,52.0
52,EV_5,58.0
52,EV_6,63.0
52,EV_7,53.0
52,EV_8,87.0
52,EV_9,60.0
54,EV_0,31.0
54,EV_1,51.0
54,EV_10,78.0
54,EV_2,64.0
54,EV_3,38.0
54,EV_4,51.0
54,EV_5,57.0
54,EV_6,62.0
54,EV_7,52.0
54,EV_8,86.0
54,EV_9,59.0
56,EV_0,30.0
56,EV_1,50.0
56,EV_10,77.0
56,EV_11,74.0
56,EV_2,63.0
56,EV_3,37.0
56,EV_4,50.0
56,EV_5,56.0
56,EV_6,61.0
56,EV_7,51.0
56,EV_8,85.0
56,EV_9,58.0
58,EV_0,29.0
58,EV_1,49.0
58,EV_10,76.0
58,EV_11,73.0
58,EV_2,62.0
58,EV_3,36.0
58,EV_4,49.0
58,EV_5,55.0
58,EV_6,60.0
58,EV_7,50.0
58,EV_8,84.0
58,EV_9,57.0
60,EV_0,28.0
60,EV_1,48.0
60,EV_10,75.0
60,EV_11,72.0
60,EV_12,96.0
60,EV_2,61.0
60,EV_3,35.0
60,EV_4,48.0
60,EV_5,54.0
60,EV_6,59.0
60,EV_7,49.0
60,EV_8,83.0
60,EV_9,56.0
62,EV_0,27.0
62,EV_1,47.0
62,EV_10,74.0
62,EV_11,71.0
62,EV_12,95.0
62,EV_2,60.0
62,EV_3,34.0
62,EV_4,47.0
62,EV_5,53.0
62,EV_6,58.0
62,EV_7,48.0
62,EV_8,82.0
62,EV_9,55.0
64,EV_0,26.0
64,EV_1,46.0
64,EV_10,73.0
64,EV_11,70.0
64,EV_12,94.0
64,EV_2,59.0
64,EV_3,33.0
64,EV_4,46.0
64,EV_5,52.0
64,EV_6,57.0
64,EV_7,47.0
64,EV_8,81.0
64,EV_9,54.0
66,EV_0,25.0
66,EV_1,45.0
66,EV_10,72.0
66,EV_11,69.0
66,EV_12,93.0
66,EV_13,85.0
66,EV_2,58.0
66,EV_3,32.0
66,EV_4,45.0
66,EV_5,51.0
66,EV_6,56.0
66,EV_7,46.0
66,EV_8,80.0
66,EV_9,53.0
68,EV_0,24.0
68,EV_1,44.0
68,EV_10,71.0
68,EV_11,68.0
68,EV_12,92.0
68,EV_13,84.0
68,EV_2,57.0
68,EV_3,31.0
68,EV_4,44.0
68,EV_5,50.0
68,EV_6,55.0
68,EV_7,45.0
68,EV_8,79.0
68,EV_9,52.0
70,EV_0,23.0
70,EV_1,43.0
70,EV_10,70.0
70,EV_11,67.0
70,EV_12,91.0
70,EV_13,83.0
70,EV_14,59.0
70,EV_2,56.0
70,EV_3,30.0
70,EV_4,43.0
70,EV_5,49.0
70,EV_6,54.0
70,EV_7,44.0
70,EV_8,78.0
70,EV_9,51.0
72,EV_0,25.0
72,EV_1,42.0
72,EV_10,69.0
72,EV_11,66.0
72,EV_12,90.0
72,EV_13,82.0
72,EV_14,58.0
72,EV_2,55.0
72,EV_3,29.0
72,EV_4,42.0
72,EV_5,48.0
72,EV_6,53.0
72,EV_7,43.0
72,EV_8,77.0
72,EV_9,50.0
74,EV_0,27.0
74,EV_1,41.0
74,EV_10,68.0
74,EV_11,65.0
74,EV_12,89.0
74,EV_13,81.0
74,EV_14,57.0
74,EV_2,54.0
74,EV_3,28.0
74,EV_4,41.0
74,EV_5,47.0
74,EV_6,52.0
74,EV_7,42.0
74,EV_8,76.0
74,EV_9,49.0
76,EV_0,29.0
76,EV_1,40.0
76,EV_10,67.0
76,EV_11,64.0
76,EV_12,88.0
76,EV_13,80.0
76,EV_14,56.0
76,EV_15,97.0
76,EV_2,53.0
76,EV_3,27.0
76,EV_4,40.0
76,EV_5,46.0
76,EV_6,51.0
76,EV_7,41.0
76,EV_8,75.0
76,EV_9,48.0
78,EV_0,31.0
78,EV_1,39.0
78,EV_10,66.0
78,EV_11,63.0
78,EV_12,87.0
78,EV_13,79.0
78,EV_14,55.0
78,EV_15,96.0
78,EV_2,52.0
78,EV_3,26.0
78,EV_4,39.0
78,EV_5,45.0
78,EV_6,50.0
78,EV_7,40.0
78,EV_8,74.0
78,EV_9,47.0
80,EV_0,33.0
80,EV_1,38.0
80,EV_10,65.0
80,EV_11,62.0
80,EV_12,86.0
80,EV_13,78.0
80,EV_14,54.0
80,EV_15,95.0
80,EV_16,84.0
80,EV_2,51.0
80,EV_3,25.0
80,EV_4,38.0
80,EV_5,44.0
80,EV_6,49.0
80,EV_7,39.0
80,EV_8,73.0
80,EV_9,46.0
82,EV_0,35.0
82,EV_1,37.0
82,EV_10,64.0
82,EV_11,61.0
82,EV_12,85.0
82,EV_13,77.0
82,EV_14,53.0
82,EV_15,94.0
82,EV_16,83.0
82,EV_2,50.0
82,EV_3,24.0
82,EV_4,37.0
82,EV_5,43.0
82,EV_6,48.0
82,EV_7,38.0
82,EV_8,72.0
82,EV_9,45.0
84,EV_0,37.0
84,EV_10,63.0
84,EV_11,60.0
84,EV_12,84.0
84,EV_13,76.0
84,EV_14,52.0
84,EV_15,93.0
84,EV_16,82.0
84,EV_2,49.0
84,EV_3,26.0
84,EV_4,36.0
84,EV_5,42.0
84,EV_6,47.0
84,EV_7,37.0
84,EV_8,71.0
84,EV_9,44.0
86,EV_0,39.0
86,EV_10,62.0
86,EV_11,59.0
86,EV_12,83.0
86,EV_13,75.0
86,EV_14,51.0
86,EV_15,92.0
86,EV_16,81.0
86,EV_17,73.0
86,EV_2,48.0
86,EV_3,28.0
86,EV_4,35.0
86,EV_5,41.0
86,EV_6,46.0
86,EV_7,36.0
86,EV_8,70.0
86,EV_9,43.0
88,EV_0,41.0
88,EV_10,61.0
88,EV_11,58.0
88,EV_12,82.0
88,EV_13,74.0
88,EV_14,50.0
88,EV_15,91.0
88,EV_16,80.0
88,EV_17,72.0
88,EV_3,30.0
88,EV_4,34.0
88,EV_5,40.0
88,EV_6,45.0
88,EV_7,35.0
88,EV_8,69.0
88,EV_9,42.0
90,EV_0,43.0
90,EV_10,60.0
90,EV_11,57.0
90,EV_12,81.0
90,EV_13,73.0
90,EV_14,49.0
90,EV_15,90.0
90,EV_16,79.0
90,EV_17,71.0
90,EV_18,63.0
90,EV_3,32.0
90,EV_4,33.0
90,EV_5,39.0
90,EV_6,44.0
90,EV_7,34.0
90,EV_8,68.0
90,EV_9,41.0
92,EV_0,45.0
92,EV_10,59.0
92,EV_11,56.0
92,EV_12,80.0
92,EV_13,72.0
92,EV_14,48.0
92,EV_15,89.0
92,EV_16,78.0
92,EV_17,70.0
92,EV_18,62.0
92,EV_3,34.0
92,EV_5,38.0
92,EV_6,43.0
92,EV_7,33.0
92,EV_8,67.0
92,EV_9,40.0
94,EV_0,47.0
94,EV_10,58.0
94,EV_11,55.0
94,EV_12,79.0
94,EV_13,71.0
94,EV_14,47.0
94,EV_15,88.0
94,EV_16,77.0
94,EV_17,69.0
94,EV_18,61.0
94,EV_3,36.0
94,EV_5,37.0
94,EV_6,42.0
94,EV_7,32.0
94,EV_8,66.0
94,EV_9,39.0
96,EV_0,49.0
96,EV_10,57.0
96,EV_11,54.0
96,EV_12,78.0
96,EV_13,70.0
96,EV_14,46.0
96,EV_15,87.0
96,EV_16,76.0
96,EV_17,68.0
96,EV_18,60.0
96,EV_19,60.0
96,EV_3,38.0
96,EV_5,36.0
96,EV_6,41.0
96,EV_7,31.0
96,EV_8,65.0
96,EV_9,38.0
98,EV_0,51.0
98,EV_10,56.0
98,EV_11,53.0
98,EV_12,77.0
98,EV_13,69.0
98,EV_14,45.0
98,EV_15,86.0
98,EV_16,75.0
98,EV_17,67.0
98,EV_18,59.0
98,EV_19,59.0
98,EV_3,40.0
98,EV_5,35.0
98,EV_6,40.0
98,EV_7,30.0
98,EV_8,64.0
98,EV_9,37.0
100,EV_0,53.0
100,EV_10,55.0
100,EV_11,52.0
100,EV_12,76.0
100,EV_13,68.0
100,EV_14,44.0
100,EV_15,85.0
100,EV_16,74.0
100,EV_17,66.0
100,EV_18,58.0
100,EV_19,58.0
100,EV_3,42.0
100,EV_5,34.0
100,EV_6,39.0
100,EV_7,29.0
100,EV_8,63.0
100,EV_9,36.0
102,EV_0,55.0
102,EV_10,54.0
102,EV_11,51.0
102,EV_12,75.0
102,EV_13,67.0
102,EV_14,43.0
102,EV_15,84.0
102,EV_16,73.0
102,EV_17,65.0
102,EV_18,57.0
102,EV_19,57.0
102,EV_3,44.0
102,EV_5,33.0
102,EV_6,38.0
102,EV_7,28.0
102,EV_8,62.0
102,EV_9,35.0
104,EV_0,57.0
104,EV_10,53.0
104,EV_11,50.0
104,EV_12,74.0
104,EV_13,66.0
104,EV_14,42.0
104,EV_15,83.0
104,EV_16,72.0
104,EV_17,64.0
104,EV_18,56.0
104,EV_19,56.0
104,EV_3,46.0
104,EV_6,37.0
104,EV_7,27.0
104,EV_8,61.0
104,EV_9,34.0
106,EV_0,59.0
106,EV_10,52.0
106,EV_11,49.0
106,EV_12,73.0
106,EV_13,65.0
106,EV_14,41.0
106,EV_15,82.0
106,EV_16,71.0
106,EV_17,63.0
106,EV_18,55.0
106,EV_19,55.0
106,EV_3,48.0
106,EV_7,26.0
106,EV_8,60.0
106,EV_9,33.0
108,EV_0,61.0
108,EV_10,51.0
108,EV_11,48.0
108,EV_12,72.0
108,EV_13,64.0
108,EV_14,40.0
108,EV_15,81.0
108,EV_16,70.0
108,EV_17,62.0
108,EV_18,54.0
108,EV_19,54.0
108,EV_3,50.0
108,EV_7,25.0
108,EV_8,59.0
108,EV_9,32.0
110,EV_0,63.0
110,EV_10,50.0
110,EV_11,47.0
110,EV_12,71.0
110,EV_13,63.0
110,EV_14,39.0
110,EV_15,80.0
110,EV_16,69.0
110,EV_17,61.0
110,EV_18,53.0
110,EV_19,53.0
110,EV_3,52.0
110,EV_7,24.0
110,EV_8,58.0
110,EV_9,31.0
112,EV_0,65.0
112,EV_10,49.0
112,EV_11,46.0
112,EV_12,70.0
112,EV_13,62.0
112,EV_14,38.0
112,EV_15,79.0
112,EV_16,68.0
112,EV_17,60.0
112,EV_18,52.0
112,EV_19,52.0
112,EV_3,54.0
112,EV_7,23.0
112,EV_8,57.0
112,EV_9,30.0
114,EV_0,67.0
114,EV_10,48.0
114,EV_11,45.0
114,EV_12,69.0
114,EV_13,61.0
114,EV_14,37.0
114,EV_15,78.0
114,EV_16,67.0
114,EV_17,59.0
114,EV_18,51.0
114,EV_19,51.0
114,EV_3,56.0
114,EV_7,22.0
114,EV_9,29.0
116,EV_0,69.0
116,EV_10,47.0
116,EV_11,44.0
116,EV_12,68.0
116,EV_13,60.0
116,EV_14,36.0
116,EV_15,77.0
116,EV_16,66.0
116,EV_17,58.0
116,EV_18,50.0
116,EV_19,50.0
116,EV_3,58.0
116,EV_7,21.0
116,EV_9,28.0
118,EV_0,71.0
118,EV_10,46.0
118,EV_11,43.0
118,EV_12,67.0
118,EV_13,59.0
118,EV_14,35.0
118,EV_15,76.0
118,EV_16,65.0
118,EV_17,57.0
118,EV_18,49.0
118,EV_19,49.0
118,EV_3,60.0
118,EV_7,20.0
118,EV_9,27.0
120,EV_0,73.0
120,EV_10,45.0
120,EV_11,42.0
120,EV_12,66.0
120,EV_13,58.0
120,EV_14,34.0
120,EV_15,75.0
120,EV_16,64.0
120,EV_17,56.0
120,EV_18,48.0
120,EV_19,48.0
120,EV_3,62.0
120,EV_7,19.0
120,EV_9,26.0
122,EV_0,75.0
122,EV_10,44.0
122,EV_11,41.0
122,EV_12,65.0
122,EV_13,57.0
122,EV_14,33.0
122,EV_15,74.0
122,EV_16,63.0
122,EV_17,55.0
122,EV_18,47.0
122,EV_19,47.0
122,EV_3,64.0
122,EV_7,21.0
122,EV_9,25.0
124,EV_0,77.0
124,EV_11,40.0
124,EV_12,64.0
124,EV_13,56.0
124,EV_14,32.0
124,EV_15,73.0
124,EV_16,62.0
124,EV_17,54.0
124,EV_18,46.0
124,EV_19,46.0
124,EV_3,66.0
124,EV_7,23.0
124,EV_9,24.0
126,EV_0,79.0
126,EV_12,63.0
126,EV_13,55.0
126,EV_14,31.0
126,EV_15,72.0
126,EV_16,61.0
126,EV_17,53.0
126,EV_18,45.0
126,EV_19,45.0
126,EV_3,68.0
126,EV_7,25.0
126,EV_9,23.0
128,EV_0,80
128,EV_12,62.0
128,EV_13,54.0
128,EV_14,30.0
128,EV_15,71.0
128,EV_16,60.0
128,EV_17,52.0
128,EV_18,44.0
128,EV_19,44.0
128,EV_3,70.0
128,EV_7,27.0
128,EV_9,22.0
130,EV_0,79.0
130,EV_13,53.0
130,EV_14,29.0
130,EV_15,70.0
130,EV_16,59.0
130,EV_17,51.0
130,EV_18,43.0
130,EV_19,43.0
130,EV_3,72.0
130,EV_7,29.0
130,EV_9,21.0
132,EV_0,78.0
132,EV_14,28.0
132,EV_15,69.0
132,EV_16,58.0
132,EV_17,50.0
132,EV_18,42.0
132,EV_19,42.0
132,EV_3,74.0
132,EV_7,31.0
132,EV_9,20.0
134,EV_0,77.0
134,EV_14,27.0
134,EV_15,68.0
134,EV_16,57.0
134,EV_17,49.0
134,EV_18,41.0
134,EV_19,41.0
134,EV_3,76.0
134,EV_7,33.0
134,EV_9,22.0
136,EV_0,76.0
136,EV_14,26.0
136,EV_15,67.0
136,EV_16,56.0
136,EV_17,48.0
136,EV_18,40.0
136,EV_19,40.0
136,EV_3,78.0
136,EV_7,35.0
136,EV_9,24.0
138,EV_0,75.0
138,EV_14,25.0
138,EV_15,66.0
138,EV_16,55.0
138,EV_17,47.0
138,EV_18,39.0
138,EV_19,39.0
138,EV_3,80
138,EV_7,37.0
138,EV_9,26.0
140,EV_0,74.0
140,EV_14,24.0
140,EV_15,65.0
140,EV_16,54.0
140,EV_17,46.0
140,EV_18,38.0
140,EV_19,38.0
140,EV_3,79.0
140,EV_7,39.0
140,EV_9,28.0
142,EV_0,73.0
142,EV_14,23.0
142,EV_15,64.0
142,EV_16,53.0
142,EV_17,45.0
142,EV_18,37.0
142,EV_19,37.0
142,EV_3,78.0
142,EV_7,41.0
142,EV_9,30.0
144,EV_0,72.0
144,EV_14,22.0
144,EV_15,63.0
144,EV_16,52.0
144,EV_17,44.0
144,EV_18,36.0
144,EV_19,36.0
144,EV_3,77.0
144,EV_7,43.0
144,EV_9,32.0
146,EV_0,71.0
146,EV_14,21.0
146,EV_16,51.0
146,EV_17,43.0
146,EV_18,35.0
146,EV_19,35.0
146,EV_3,76.0
146,EV_7,45.0
146,EV_9,34.0
148,EV_0,70.0
148,EV_14,20.0
148,EV_16,50.0
148,EV_17,42.0
148,EV_18,34.0
148,EV_19,34.0
148,EV_3,75.0
148,EV_7,47.0
148,EV_9,36.0
150,EV_0,69.0
150,EV_14,19.0
150,EV_16,49.0
150,EV_17,41.0
150,EV_18,33.0
150,EV_19,33.0
150,EV_3,74.0
150,EV_7,49.0
150,EV_9,38.0
152,EV_0,68.0
152,EV_14,18.0
152,EV_16,48.0
152,EV_17,40.0
152,EV_18,32.0
152,EV_19,32.0
152,EV_3,73.0
152,EV_7,51.0
152,EV_9,40.0
154,EV_0,67.0
154,EV_14,17.0
154,EV_17,39.0
154,EV_18,31.0
154,EV_19,31.0
154,EV_3,72.0
154,EV_7,53.0
154,EV_9,42.0
156,EV_0,66.0
156,EV_14,16.0
156,EV_17,38.0
156,EV_18,30.0
156,EV_19,30.0
156,EV_3,71.0
156,EV_7,55.0
156,EV_9,44.0
158,EV_0,65.0
158,EV_14,15.0
158,EV_18,29.0
158,EV_19,29.0
158,EV_3,70.0
158,EV_7,57.0
158,EV_9,46.0
160,EV_0,64.0
160,EV_14,14.0
160,EV_18,28.0
160,EV_19,28.0
160,EV_3,69.0
160,EV_7,59.0
160,EV_9,48.0
162,EV_0,63.0
162,EV_14,13.0
162,EV_18,27.0
162,EV_19,27.0
162,EV_3,68.0
162,EV_7,61.0
162,EV_9,50.0
164,EV_0,62.0
164,EV_14,12.0
164,EV_18,26.0
164,EV_19,26.0
164,EV_3,67.0
164,EV_7,63.0
164,EV_9,52.0
166,EV_0,61.0
166,EV_14,11.0
166,EV_18,25.0
166,EV_19,25.0
166,EV_3,66.0
166,EV_7,65.0
166,EV_9,54.0
168,EV_0,60.0
168,EV_14,10.0
168,EV_18,24.0
168,EV_19,24.0
168,EV_3,65.0
168,EV_7,67.0
168,EV_9,56.0
170,EV_0,59.0
170,EV_14,9.0
170,EV_18,23.0
170,EV_19,23.0
170,EV_3,64.0
170,EV_7,69.0
170,EV_9,58.0
172,EV_0,58.0
172,EV_14,8.0
172,EV_18,22.0
172,EV_19,22.0
172,EV_3,63.0
172,EV_7,71.0
172,EV_9,60.0
174,EV_0,57.0
174,EV_14,7.0
174,EV_18,21.0
174,EV_19,21.0
174,EV_3,62.0
174,EV_7,73.0
174,EV_9,62.0
176,EV_0,56.0
176,EV_14,6.0
176,EV_18,20.0
176,EV_19,20.0
176,EV_3,61.0
176,EV_7,75.0
176,EV_9,64.0
178,EV_0,55.0
178,EV_14,5.0
178,EV_18,19.0
178,EV_19,19.0
178,EV_3,60.0
178,EV_7,77.0
178,EV_9,66.0
180,EV_0,54.0
180,EV_14,4.0
180,EV_18,18.0
180,EV_19,18.0
180,EV_3,59.0
180,EV_7,79.0
180,EV_9,68.0
182,EV_0,53.0
182,EV_14,3.0
182,EV_18,17.0
182,EV_19,17.0
182,EV_3,58.0
182,EV_7,80
182,EV_9,70.0
184,EV_0,52.0
184,EV_14,2.0
184,EV_18,16.0
184,EV_19,16.0
184,EV_3,57.0
184,EV_7,79.0
184,EV_9,72.0
186,EV_0,51.0
186,EV_14,1.0
186,EV_18,15.0
186,EV_19,15.0
186,EV_3,56.0
186,EV_7,78.0
186,EV_9,74.0
188,EV_0,50.0
188,EV_14,0
188,EV_18,14.0
188,EV_19,14.0
188,EV_3,55.0
188,EV_7,77.0
188,EV_9,76.0
190,EV_0,49.0
190,EV_14,0
190,EV_18,13.0
190,EV_19,13.0
190,EV_3,54.0
190,EV_7,76.0
190,EV_9,78.0
192,EV_0,48.0
192,EV_14,0
192,EV_18,12.0
192,EV_19,12.0
192,EV_3,53.0
192,EV_7,75.0
192,EV_9,80
194,EV_0,47.0
194,EV_14,0
194,EV_18,11.0
194,EV_19,11.0
194,EV_3,52.0
194,EV_7,74.0
194,EV_9,79.0
196,EV_0,46.0
196,EV_14,0
196,EV_18,10.0
196,EV_19,10.0
196,EV_3,51.0
196,EV_7,73.0
196,EV_9,78.0
198,EV_0,45.0
198,EV_14,0
198,EV_18,9.0
198,EV_19,9.0
198,EV_3,50.0
198,EV_7,72.0
198,EV_9,77.0
200,EV_0,44.0
200,EV_14,0
200,EV_18,8.0
200,EV_19,8.0
200,EV_3,49.0
200,EV_7,71.0
200,EV_9,76.0
202,EV_0,43.0
202,EV_14,2.0
202,EV_18,7.0
202,EV_19,7.0
202,EV_3,48.0
202,EV_7,70.0
202,EV_9,75.0
204,EV_0,45.0
204,EV_14,4.0
204,EV_18,6.0
204,EV_19,6.0
204,EV_3,47.0
204,EV_7,69.0
204,EV_9,74.0
206,EV_0,47.0
206,EV_14,6.0
206,EV_18,5.0
206,EV_19,5.0
206,EV_3,46.0
206,EV_7,68.0
206,EV_9,73.0
208,EV_0,49.0
208,EV_14,8.0
208,EV_18,4.0
208,EV_19,4.0
208,EV_3,45.0
208,EV_7,67.0
208,EV_9,72.0
210,EV_0,51.0
210,EV_14,10.0
210,EV_18,3.0
210,EV_19,3.0
210,EV_3,44.0
210,EV_7,69.0
210,EV_9,71.0
212,EV_0,53.0
212,EV_14,12.0
212,EV_18,2.0
212,EV_19,2.0
212,EV_3,43.0
212,EV_7,71.0
212,EV_9,70.0
214,EV_0,55.0
214,EV_14,14.0
214,EV_18,1.0
214,EV_19,1.0
214,EV_3,42.0
214,EV_7,73.0
214,EV_9,69.0
216,EV_0,57.0
216,EV_14,16.0
216,EV_18,0
216,EV_19,0
216,EV_3,41.0
216,EV_7,75.0
216,EV_9,68.0
218,EV_0,59.0
218,EV_14,18.0
218,EV_18,0
218,EV_19,0
218,EV_3,40.0
218,EV_7,77.0
218,EV_9,67.0
220,EV_0,61.0
220,EV_14,20.0
220,EV_18,0
220,EV_19,0
220,EV_3,39.0
220,EV_7,79.0
220,EV_9,69.0
222,EV_0,63.0
222,EV_14,22.0
222,EV_18,0
222,EV_19,0
222,EV_3,38.0
222,EV_7,80
222,EV_9,71.0
224,EV_0,65.0
224,EV_14,24.0
224,EV_18,0
224,EV_19,0
224,EV_3,37.0
224,EV_9,73.0
226,EV_0,67.0
226,EV_14,26.0
226,EV_18,0
226,EV_19,0
226,EV_3,36.0
226,EV_9,75.0
228,EV_0,69.0
228,EV_14,28.0
228,EV_18,0
228,EV_19,0
228,EV_3,35.0
228,EV_9,77.0
230,EV_0,71.0
230,EV_14,30.0
230,EV_18,0
230,EV_19,0
230,EV_3,34.0
230,EV_9,79.0
232,EV_0,73.0
232,EV_14,32.0
232,EV_18,0
232,EV_19,0
232,EV_3,33.0
232,EV_9,80
234,EV_0,75.0
234,EV_14,34.0
234,EV_18,0
234,EV_19,0
234,EV_3,32.0
234,EV_9,79.0
236,EV_0,77.0
236,EV_14,36.0
236,EV_18,0
236,EV_19,0
236,EV_3,31.0
238,EV_0,79.0
238,EV_14,38.0
238,EV_18,0
238,EV_19,0
238,EV_3,30.0
240,EV_0,80
240,EV_14,40.0
240,EV_18,0
240,EV_19,0
240,EV_3,29.0
242,EV_0,79.0
242,EV_14,42.0
242,EV_18,0
242,EV_19,0
242,EV_3,28.0
244,EV_0,78.0
244,EV_14,44.0
244,EV_18,0
244,EV_19,0
244,EV_3,27.0
246,EV_0,77.0
246,EV_14,46.0
246,EV_18,0
246,EV_19,0
246,EV_3,26.0
248,EV_0,76.0
248,EV_14,48.0
248,EV_18,0
248,EV_19,0
248,EV_3,25.0
250,EV_0,75.0
250,EV_14,50.0
250,EV_18,0
250,EV_19,0
250,EV_3,24.0
252,EV_0,74.0
252,EV_14,52.0
252,EV_18,0
252,EV_19,0
252,EV_3,23.0
254,EV_0,73.0
254,EV_14,54.0
254,EV_18,0
254,EV_19,0
254,EV_3,22.0
256,EV_0,72.0
256,EV_14,56.0
256,EV_18,0
256,EV_19,0
256,EV_3,21.0
258,EV_0,71.0
258,EV_14,58.0
258,EV_18,0
258,EV_19,0
258,EV_3,20.0
260,EV_0,70.0
260,EV_14,60.0
260,EV_18,0
260,EV_19,0
260,EV_3,19.0
262,EV_0,69.0
262,EV_14,62.0
262,EV_18,0
262,EV_19,0
262,EV_3,18.0
264,EV_0,68.0
264,EV_14,64.0
264,EV_18,0
264,EV_19,0
264,EV_3,17.0
266,EV_0,67.0
266,EV_14,66.0
266,EV_18,0
266,EV_19,0
266,EV_3,16.0
268,EV_0,66.0
268,EV_14,68.0
268,EV_18,0
268,EV_19,0
268,EV_3,15.0
270,EV_0,65.0
270,EV_14,70.0
270,EV_18,0
270,EV_19,0
270,EV_3,14.0
272,EV_0,64.0
272,EV_14,72.0
272,EV_18,0
272,EV_19,0
272,EV_3,13.0
274,EV_0,63.0
274,EV_14,74.0
274,EV_18,0
274,EV_19,0
274,EV_3,12.0
276,EV_0,62.0
276,EV_14,76.0
276,EV_18,0
276,EV_19,0
276,EV_3,11.0
278,EV_0,61.0
278,EV_14,78.0
278,EV_18,0
278,EV_19,0
278,EV_3,10.0
280,EV_0,60.0
280,EV_14,80
280,EV_18,0
280,EV_19,0
280,EV_3,9.0
282,EV_0,59.0
282,EV_14,79.0
282,EV_18,0
282,EV_19,0
282,EV_3,8.0
284,EV_14,78.0
284,EV_18,0
284,EV_19,0
284,EV_3,7.0
286,EV_14,77.0
286,EV_18,0
286,EV_19,0
286,EV_3,6.0
288,EV_14,76.0
288,EV_18,0
288,EV_19,0
288,EV_3,5.0
290,EV_14,75.0
290,EV_18,2.0
290,EV_19,2.0
290,EV_3,4.0
292,EV_14,74.0
292,EV_18,4.0
292,EV_19,4.0
292,EV_3,3.0
294,EV_14,73.0
294,EV_18,6.0
294,EV_19,6.0
294,EV_3,2.0
296,EV_14,72.0
296,EV_18,8.0
296,EV_19,8.0
296,EV_3,1.0
298,EV_14,71.0
298,EV_18,10.0
298,EV_19,10.0
298,EV_3,0
300,EV_14,70.0
300,EV_18,12.0
300,EV_19,12.0
300,EV_3,0
302,EV_14,69.0
302,EV_18,14.0
302,EV_19,14.0
302,EV_3,0
304,EV_14,68.0
304,EV_18,16.0
304,EV_19,16.0
304,EV_3,0
306,EV_14,70.0
306,EV_18,18.0
306,EV_19,18.0
306,EV_3,0
308,EV_14,72.0
308,EV_18,20.0
308,EV_19,20.0
308,EV_3,0
310,EV_14,74.0
310,EV_18,22.0
310,EV_19,22.0
310,EV_3,0
312,EV_14,76.0
312,EV_18,24.0
312,EV_19,24.0
312,EV_3,0
314,EV_14,78.0
314,EV_18,26.0
